"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2021","123.89","134.78","136.38","122.09","4.70M","-8.09%"
"Nov 22, 2021","134.79","128.61","144.92","125.89","7.31M","4.47%"
"Nov 21, 2021","129.03","125.75","146.29","123.43","8.47M","2.61%"
"Nov 20, 2021","125.75","112.18","129.86","111.66","6.14M","12.10%"
"Nov 19, 2021","112.18","100.62","112.21","96.04","4.58M","11.49%"
"Nov 18, 2021","100.62","107.61","110.28","92.13","6.21M","-6.55%"
"Nov 17, 2021","107.67","97.77","109.94","91.84","7.93M","10.09%"
"Nov 16, 2021","97.80","93.87","101.80","83.51","6.29M","4.19%"
"Nov 15, 2021","93.87","95.34","101.56","92.04","4.17M","-1.55%"
"Nov 14, 2021","95.34","97.42","99.85","91.71","3.89M","-2.12%"
"Nov 13, 2021","97.41","84.79","98.45","84.79","3.87M","14.89%"
"Nov 12, 2021","84.79","87.81","89.84","81.32","2.56M","-3.44%"
"Nov 11, 2021","87.81","85.19","89.52","83.78","2.35M","2.84%"
"Nov 10, 2021","85.39","88.23","94.00","79.03","5.06M","-3.21%"
"Nov 09, 2021","88.22","91.01","91.45","87.01","3.05M","-3.06%"
"Nov 08, 2021","91.01","87.54","96.90","83.63","7.77M","3.96%"
"Nov 07, 2021","87.54","78.70","88.80","78.07","5.46M","11.34%"
"Nov 06, 2021","78.63","74.18","78.63","72.41","1.94M","5.99%"
"Nov 05, 2021","74.18","79.01","81.01","72.21","2.66M","-6.11%"
"Nov 04, 2021","79.01","75.54","80.90","73.96","5.28M","4.60%"
"Nov 03, 2021","75.54","67.74","75.54","67.09","5.19M","11.63%"
"Nov 02, 2021","67.67","64.93","68.00","64.33","1.92M","4.11%"
"Nov 01, 2021","64.99","64.44","66.56","62.28","2.79M","0.86%"
"Oct 31, 2021","64.44","62.24","64.44","60.15","1.74M","3.53%"
"Oct 30, 2021","62.24","64.91","64.92","60.99","1.65M","-3.90%"
"Oct 29, 2021","64.77","64.35","66.14","63.52","1.71M","0.66%"
"Oct 28, 2021","64.35","61.58","64.94","61.51","2.84M","4.59%"
"Oct 27, 2021","61.52","68.71","69.76","57.15","4.86M","-10.46%"
"Oct 26, 2021","68.71","69.76","72.93","67.67","4.31M","-1.30%"
"Oct 25, 2021","69.62","64.53","69.82","64.36","2.54M","7.92%"
"Oct 24, 2021","64.51","65.35","67.57","61.97","2.49M","-1.29%"
"Oct 23, 2021","65.35","65.53","69.10","64.58","3.29M","-0.20%"
"Oct 22, 2021","65.48","61.42","68.71","61.39","6.20M","6.62%"
"Oct 21, 2021","61.41","59.62","64.30","58.90","4.48M","3.01%"
"Oct 20, 2021","59.62","56.79","61.55","56.70","3.01M","4.97%"
"Oct 19, 2021","56.79","55.53","58.04","55.15","2.07M","2.27%"
"Oct 18, 2021","55.53","56.03","56.46","54.16","1.72M","-0.87%"
"Oct 17, 2021","56.02","57.54","58.51","53.42","2.40M","-2.64%"
"Oct 16, 2021","57.54","56.39","62.04","55.73","4.34M","2.02%"
"Oct 15, 2021","56.40","56.18","57.13","54.56","3.27M","0.38%"
"Oct 14, 2021","56.18","54.97","58.42","54.96","3.29M","2.20%"
